SN,Date_BS,Primary_Judge,Assistant_Judge,Decisions,Orders,Case_Notes,Remark1,Remark2,Remark3,Day,Court_Status
1,2079-06-05,,,0,0,,,,,बुधबार,Court Held
2,2079-06-12,,,0,0,,,,,बुधबार,Holiday
3,2079-06-26,,,0,0,,,,,बुधबार,Court Held
4,2079-07-02,यदुराज शर्मा,,4,2,,,,,बुधबार,Court Held
5,2079-07-16,अन्जनराज सापकोटा,,2,0,,,,,बुधबार,Court Held
6,2079-07-23,अन्जनराज सापकोटा,,5,0,,,,,बुधबार,Court Held
7,2079-07-30,अन्जनराज सापकोटा,,5,2,,,,,बुधबार,Court Held
8,2079-08-07,यदुराज शर्मा,अन्जनराज सापकोटा,1,0,,,,,बुधबार,Court Held
9,2079-08-14,अन्जनराज सापकोटा,,2,1,,,,,बुधबार,Court Held
10,2079-08-21,,,0,0,,,,,बुधबार,Bench Not Formed
11,2079-08-23,यदुराज शर्मा,,0,1,,,,,शुक्रबार,Court Held
12,2079-08-28,,,0,0,,,,,बुधबार,Court Held
13,2079-09-06,कमलकान्त जोशी,,0,18,,,,,बुधबार,Court Held
14,2079-09-13,अन्जनराज सापकोटा,,4,8,,,,,बुधबार,Court Held
15,2079-09-20,कमलकान्त जोशी,अन्जनराज सापकोटा,5,7,,,,,बुधबार,Court Held
16,2079-09-22,अन्जनराज सापकोटा,,0,3,,,,,शुक्रबार,Court Held
17,2079-10-04,इमनाथ पौडेल,अन्जनराज सापकोटा,0,4,,,,,बुधबार,Court Held
18,2079-10-11,यदुराज शर्मा,अन्जनराज सापकोटा,1,0,,,,,बुधबार,Court Held
19,2079-10-13,अन्जनराज सापकोटा,,2,0,,,,,शुक्रबार,Court Held
20,2079-10-18,अन्जनराज सापकोटा,,1,0,,,,,बुधबार,Court Held
21,2079-10-25,इमनाथ पौडेल,,1,1,,,,,बुधबार,Court Held
22,2079-11-03,इमनाथ पौडेल,अन्जनराज सापकोटा,3,9,,,,,बुधबार,Court Held
23,2079-11-10,,,0,0,,,,,बुधबार,Court Held
24,2079-11-17,यदुराज शर्मा,,3,3,,,,,बुधबार,Court Held
25,2079-11-24,,,0,0,,,,,बुधबार,Holiday
26,2079-12-01,अन्जनराज सापकोटा,,3,2,,,,,बुधबार,Court Held
27,2079-12-08,,,0,0,,,,,बुधबार,Court Held
28,2079-12-15,कमलकान्त जोशी,अन्जनराज सापकोटा,0,4,,,,,बुधबार,Court Held
29,2079-12-22,अन्जनराज सापकोटा,,0,0,,हर्दा हेर्दै  कर्णाली,,,बुधबार,Court Held
30,2079-12-24,अन्जनराज सापकोटा,,0,0,,हर्दा हेर्दै  कर्णाली,,,शुक्रबार,Court Held
31,2079-12-29,अन्जनराज सापकोटा,,1,2,,,,,बुधबार,Court Held
32,2080-01-06,अन्जनराज सापकोटा,,0,0,,हर्दा हेर्दै कर्णाली,,,बुधबार,Court Held
33,2080-01-13,अन्जनराज सापकोटा,,1,3,,,,,बुधबार,Court Held
34,2080-01-20,,,0,0,,,,,बुधबार,Court Held
35,2080-01-27,अन्जनराज सापकोटा,कमलकान्त जोशी,3,0,,,,,बुधबार,Court Held
36,2080-01-27,कमलकान्त जोशी,अन्जनराज सापकोटा,11,3,,,,,बुधबार,Court Held
37,2080-02-03,इमनाथ पौडेल,,1,2,,,,,बुधबार,Court Held
38,2080-02-10,अन्जनराज सापकोटा,,2,3,,,,,बुधबार,Court Held
39,2080-02-17,,,0,0,,,,,बुधबार,Court Held
40,2080-02-24,,,0,0,,,,,बुधबार,Court Held
41,2080-02-31,,,0,0,,,,,बुधबार,Court Held
42,2080-03-06,,,0,0,,,,,बुधबार,Court Held
43,2080-03-13,कमलकान्त जोशी,,7,1,,,,,बुधबार,Court Held
44,2080-03-20,,,0,0,,,,,बुधबार,Court Held
45,2080-03-27,,,0,0,,,,,बुधबार,Court Held
46,2080-04-03,,,0,0,,,,,बुधबार,Court Held
47,2080-04-10,,,0,0,,,,,बुधबार,Court Held
48,2080-04-17,,,0,0,,,,,बुधबार,Court Held
49,2080-04-24,शिवप्रसाद आचार्य,अन्जनराज सापकोटा,4,5,,,,,बुधबार,Court Held
50,2080-04-31,इमनाथ पौडेल,शिवप्रसाद आचार्य,1,3,,,,,बुधबार,Court Held
51,2080-05-06,अन्जनराज सापकोटा,,0,5,,,,,बुधबार,Court Held
52,2080-05-08,अन्जनराज सापकोटा,शिवप्रसाद आचार्य,0,0,,,,,शुक्रबार,Court Held
53,2080-05-13,कमलकान्त जोशी,,5,3,,,,,बुधबार,Court Held
54,2080-05-20,,,0,0,,,,,बुधबार,Holiday
55,2080-05-27,अन्जनराज सापकोटा,,1,3,,,,,बुधबार,Court Held
56,2080-06-03,,,0,0,,,,,बुधबार,Holiday
57,2080-06-10,कमलकान्त जोशी,,1,1,,,,,बुधबार,Court Held
58,2080-06-17,शिवप्रसाद आचार्य,,0,9,,,,,बुधबार,Court Held
59,2080-06-24,अन्जनराज सापकोटा,शिवप्रसाद आचार्य,0,6,रविदत्त मिश्रको (निर्वार्चनकको निसु),,,बुधबार,Court Held
60,2080-07-15,,,0,0,,,,,बुधबार,China Visit
61,2080-07-22,कमलकान्त जोशी,,0,0,,,,,बुधबार,Court Held
62,2080-08-06,कमलकान्त जोशी,,0,0,,,,,बुधबार,Court Held
63,2080-08-13,,,0,0,,,,,बुधबार,India Visit
64,2080-08-20,अन्जनराज सापकोटा,शिवप्रसाद आचार्य,1,0,,कम्पेक्स डेभलपर (parking) को फैसला,,,बुधबार,Court Held
65,2080-08-27,इमनाथ पौडेल,,0,0,,,,,बुधबार,Court Held
66,2080-08-28,शिवप्रसाद आचार्य,,4,0,,,,,बिहिबार,Court Held
67,2080-09-04,इमनाथ पौडेल,,2,1,सुकुम्बासीको निसु,,,बुधबार,Court Held
68,2080-09-11,कमलकान्त जोशी,,5,1,,,,,बुधबार,Court Held
69,2080-09-18,,,0,0,,,,,बुधबार,Court Not Held
70,2080-09-25,अन्जनराज सापकोटा,,0,7,,,,,बुधबार,Court Held
71,2080-10-03,कमलकान्त जोशी,,0,0,,,,,बुधबार,Court Held
72,2080-10-03,अन्जनराज सापकोटा,,6,0,निसुमा रहेको सुकुम्बासी टुङ्गिएको,,,बुधबार,Court Held
73,2080-10-10,कमलकान्त जोशी,,0,0,,,,,बुधबार,Court Held
74,2080-10-17,,,0,0,,,,,बुधबार,Court Held
75,2080-10-24,कमलकान्त जोशी,,3,2,,,,,बुधबार,Court Held
76,2080-11-02,,,0,0,,,,,बुधबार,Court Not Held
77,2080-11-09,राजेन्द्र पौडेल,,0,4,,,,,बुधबार,Court Held
78,2080-11-16,,,0,0,,,,,बुधबार,Inauguration
79,2080-11-23,शिवप्रसाद आचार्य,,2,0,,बालेन शाहको निर्वाचन खर्च र सुप विश्विविद्यालयको फैसला,,,बुधबार,Court Held
80,2080-11-30,राजेन्द्र पौडेल,अन्जनराज सापकोटा,1,1,,,,,बुधबार,Court Held
81,2080-12-07,अन्जनराज सापकोटा,शिवप्रसाद आचार्य,6,0,,,,,बुधबार,Court Held
82,2080-12-14,शिवप्रसाद आचार्य,ओजा लामिछाने,4,1,,"PABSON-विपन्न छात्रवृत्ती"," ज्ञानेन्द्रराजको निर्वाचन ऐन चुनौति",,बुधबार,Court Held
83,2080-12-21,ओजा लामिछाने,अन्जनराज सापकोटा,3,2,,,,,बुधबार,Court Held
84,2080-12-28,,,0,0,,,,,बुधबार,Inspection
85,2081-01-07,कमलकान्त जोशी,शिवप्रसाद आचार्य,2,4,,,,,शुुक्रबार,Court Held
86,2081-01-12,राजेन्द्र पौडेल,अन्जनराज सापकोटा,0,0,हेर्दाहेर्दै,,,बुधबार,Court Held
87,2081-01-14,अन्जनराज सापकोटा,शिवप्रसाद आचार्य,2,8,,,,,शुक्र्रबार,Court Held
88,2081-01-26,,,0,0,,Law Day (Public Holiday),,,बुधवार,Holiday
89,2081-02-02,शिवप्रसाद आचार्य,कमलकान्त जोशी,3,0,"रविदत्तको निर्वाचनको निसु पुनः सुनुवाइ भइ टुङ्गिएको, रविदत्त मिश्र सहित ३ थान निर्वाचन मुद्दा",,,बुधवार,Court Held
90,2081-02-09,,,0,0,,,,बुधवार,Court Not Held
91,2081-02-16,कमलकान्त जोशी,अन्जनराज सापकोटा,0,0,"हेर्दा हेर्दै",,,बुधवार,Court Held
92,2081-02-23,राजेन्द्र पौडेल,शिवप्रसाद आचार्य,0,0,,,,बुधवार,Court Held
93,2081-02-30,कमलकान्त जोशी,अन्जनराज सापकोटा,0,2,"हेर्दा हेर्दै",,,बुधवार,Court Held
94,2081-03-05,राजेन्द्र पौडेल,अन्जनराज सापकोटा,3,1,,,,बुधवार,Court Held
95,2081-03-12,सदिक्षा राउत,शिवप्रसाद आचार्य,2,2,"नि.सु (अग्नि सापकोटा), हेर्दाहेर्दै (कामनपाको शिक्षासम्बन्धी)",प्रकाश राउत श्रीमान्को अनुस्पतिले सरेको,,बुधवार,Court Held
96,2081-03-19,परीक्षा ढकाल,राजेन्द्र पौडेल,5,0,"हेर्दा हेर्दै","गुठीको भरतमणि जङ्गम टुङ्गिएको",,बुधवार,Court Held
97,2081-03-26,श्रेया संजेल,शिवप्रसाद आचार्य,2,5,,,,बुधवार,Court Held
98,2081-04-16,राजेन्द्र पौडेल,शिशिर लामिछाने,7,2,"हेर्दाहेर्दै (कामनपाको शिक्षासम्बन्धी) टुङ्गिएको","२०८१।३।१२ बाट मिति २०८१।४।१६ मा सरेको",,बुधवार,Court Held
99,2081-04-23,"राजेन्द्र पौडेल / शिशिर लामिछाने",शिवप्रसाद आचार्य,0,1,"पूर्णिमाया लामा, नि.सू (असार १२ गतेको)","राजेन्द्र पौडेल / शिशिर लामिछाने",,बुधवार,Court Held
100,2081-04-30,बसन्तराज पाध्याय,राजेन्द्र पौडेल,7,6,,,,बुधवार,Court Held
101,2081-05-05,शिवप्रसाद आचार्य,बसन्तराज पाध्याय,8,1,,"सबै निर्वाचनसँग सम्बन्धित",,बुधवार,Court Held
102,2081-05-12,"सदिक्षा राउत/राजेन्द्र पौडेल",बसन्तराज पाध्याय,4,1,"नि.सु. पूर्णमाया लामा (असार १२ गतेको साउन २३ बाट सरेको)",,,बुधवार,Court Held
103,2081-05-19,शिशिर लामिछाने,बसन्त्तराज पाध्याय,0,0,,"अ.आ. छलफल",,बुधवार,Court Held
104,2081-06-09,राजेन्द्र पौडेल,-,0,1,"नि.सुु प्रयोजन, निसुमा आदेश अन्य भई निसु टुङ्गिएको",,,बुधवार,Court Held
105,2081-07-07,परीक्षा ढकाल,शिवप्रसाद आचार्य,2,1,,,,बुधवार,Court Held
106,2081-07-14,शिवप्रसाद आचार्य,सदिक्षा राउत,0,1,,,,बुधवार,Court Held
107,2081-07-21,परीक्षा ढकाल,सदिक्षा राउत,0,0,"हेर्दाहेर्दै (१४ गतेको)",,,बुधवार,Court Held
108,2081-07-28,,,0,0,,"Kantipur conclave को कार्यक्रमले गर्दा बेन्च नलागेको",,बुधवार,Special Program
109,2081-08-05,शिवप्रसाद आचार्य,सदिक्षा राउत,2,1,"हेर्दाहेर्दै (१४, २१ गतेको पुष को लागि नि.सु रहेको)",,,बुधवार,Court Held
110,2081-08-12,,,0,0,,"न्यायाधीश अभावले इजलास नलागेको",,बुधवार,Bench Not Formed
111,2081-08-19,शिशिर लामिछाने,बसन्तराज पाध्याय,0,0,,"बसन्त जोशी निर्वाचन नि.सु पुषको १७ गते रहेको",,बुधवार,Court Held
112,2081-08-26,बसन्तराज पाध्याय,शिशिर लामिछाने,2,13,,,,बुधवार,Court Held
113,2081-09-03,,,0,0,,"न्याय परिषद दिवसले गर्दा बेन्च नबसेको","दिलराज खनालको नि.सु रहेकोमा पुस २४ लाई सरेको",,बुधवार,Holiday
114,2081-09-10,,,0,0,,"क्रिसमस बिदा",,बुधवार,Holiday
115,2081-09-17,शिवप्रसाद आचार्य,वसन्त पाध्याय,1,10,"casino opening मात्र गरेर हेर्दाहेर्दै पुस २४ गतेलाई राखिएको","बसन्त जोशिको निसु पुस २४ लाई सरेको",,बुधवार,Court Held
116,2081-09-24,शिवप्रसाद आचार्य,वसन्त्त पाध्याय,0,0,"बसन्त जोशीको निसु","दिलराज खनालको निसु","casino हेर्दाहेर्दै रहेको",बुधवार,Court Held
117,2081-10-02,शिशीर लामिछाने,वसन्त पाध्याय,1,0,,"खुला विश्वविद्यालयको फैसला भएको",,बुधवार,Court Held
118,2081-10-02,शिवप्रसाद आचार्य,बसन्त पाध्याय,1,0,"दिलराज खनालको निसु टुंगिएको (निकुञ्ज)",,,बुधवार,Court Held
119,2081-10-02,बसन्त्त पाध्याय,शिवप्रसाद आचार्य,1,0,,"वसन्त जोशीको नि.सु टुंगिएको",,बुधवार,Court Held
120,2081-10-09,वसन्त पाध्याय,शिवप्रसाद आचार्य,3,?,,,,बुधवार,Court Held
121,2081-10-16,,,0,0,,"शहीद दिवस विदा",,बुधवार,Holiday
122,2081-10-23,शिवप्रसाद आचार्य,वसन्त पाध्याय,14,2,,"पुषको २४ गतेको क्यासिनो माघ २३ लाई हेर्दा हेर्दैमा रही फैसला भएको",,बुधवार,Court Held
123,2081-10-30,राजेन्द्र पौडेल,सदीक्षा राउत,1,0,"५२ भाई सुनुवाई भई हेर्दाहेर्दैमा फागुन २१ लाई पेशी तोकिएको",,,बुधवार,Court Held
124,2081-11-07,,,0,0,,"प्रजानतन्त्र दिवसको विदा",,बुधवार,Holiday
125,2081-11-14,,,0,0,,"शिवरात्रीको विदा",,बुधवार,Holiday
126,2081-11-21,राजेन्द्र पौडेल,सदीक्षा राउत,0,0,"५२ भाई सुनुवाई भई हेर्दाहेर्दैमा चैत ६ लाई पेशी तोकिएको",,,बुधवार,Court Held
127,2081-11-28,माया रिजाल,वसन्त पाध्याय,0,3,"पूर्णिमाया लामाको सुनवाई सुरू भई चैत्र २७ मा हेर्दाहेर्दैमा रहेको",,,बुधवार,Court Held
128,2081-12-06,सदीक्षा राउत,वसन्त्त पाध्याय,0,0,"५२ भाईको हेर्दाहेर्दैमा सुनुवाई भई २०८२ वैशाख ३ लाई हेर्दाहेर्दैमा पेशी तोकिएको",,,बुधवार,Court Held
129,2081-12-13,सदीक्षा राउत,परीक्षा ढकाल,5,12,,,,बुधवार,Court Held
130,2081-12-20,,,0,0,,"सम्माननीयज्यूको जनकपुर कार्यक्रमले गर्दा इजलास गठन नभएको",,बुधवार,Special Program
131,2081-12-27,,,0,0,,"सम्माननीयज्यूको भारत भ्रमणले इजलास गठन नभएको",,बुधवार,Official Visit
132,2082-01-04,सदीक्षा राउत,शिवप्रसाद आचार्य,0,0,"५२ भाई हेर्दाहेर्दैमा",,,बुधवार,Court Held
133,2082-01-07,सदीक्षा राउत,माया पोखरेल रिजाल,0,0,"५२ भाई हेर्दाहेर्दैमा",,,बुधवार,Court Held
134,2082-01-08,सदीक्षा राउत,माया पोखरेल रिजाल,0,0,"५२ भाई हेर्दाहेर्दैमा",,,बुधवार,Court Held
135,2082-01-09,सदीक्षा राउत,माया पोखरेल रिजाल,0,0,"५२ भाई हेर्दाहेर्दैमा",,,बुधवार,Court Held
136,2082-01-10,शिव प्रसाद आचार्य,माया पोखरेल रिजाल,0,0,"५२ भाई हेर्दाहेर्दैमा",,,बुधवार,Court Held
137,2082-01-17,,,0,0,,"सम्माननीयज्यूको बेलायत भ्रमण कार्यक्रमले गर्दा इजलास गठन नभएको",,बुधवार,Special Program
138,2082-01-24,शिशिर लामिछाने,परीक्षा ढकाल,2,1,,"प्रदेश कर्मचारी सम्बन्धी मुद्दा जेठ २८ मा नि.सु रहेको",,बुधवार,Court Held
139,2082-01-28,राजेन्द्र पौडेल,सदीक्षा राउत,0,0,"५२ भाइ हेर्दाहेर्दै सुनुवाई भइ",,,आइतबार,Court Held
140,2082-01-31,वसन्त पाध्याय,माया पोखरेल रिजाल,4,0,,,,बुधवार,Court Held
141,2082-02-07,माया पोखरेल,बसन्त पाध्याय,2,3,"पूर्णिमाय लामा हेर्दाहेर्दैमा राखिएको",,,बुधवार,Court Held
